original_filename,standard_filename,UUID,metadata_url,metadata_steps
Nicaragua_A1_2004_2022_EW9_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW9_PAHO_raw.csv,9e92828f-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW10_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW10_PAHO_raw.csv,9e928298-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW11_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW11_PAHO_raw.csv,9e928299-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW12_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW12_PAHO_raw.csv,9e9282a2-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW13_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW13_PAHO_raw.csv,9e9282a3-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW14_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW14_PAHO_raw.csv,9e9282a4-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW15_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW15_PAHO_raw.csv,9e9282ac-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW16_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW16_PAHO_raw.csv,9e9282b6-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW17_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW17_PAHO_raw.csv,9e9282b7-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW18_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW18_PAHO_raw.csv,9e9282c0-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
